"","entidad","anio","acceso_electrd","acceso_combust_limpios","cap_instald_energ_renov","finan_paises_desarr","energ_renov","electrd_fosiles","electrd_nuclear","electrd_de_energ_renov","electrd_de_f_bajas_carb","consumo_energ_prim","nivel_intens_energ_prim","emisiones_CO2","renovables","crecimiento_PIB","PIB_per_cap","densidad_pobl_Km2","superficie","latitud","longitud"
"1493","Malawi",2001,5.13952,2.1,26.24,NA,83.13,0.15,0,1.11,88.09524,581.4494,5.51,680,NA,-4.974963848,150.1489426,203,118484,-13.254308,34.301525
"1494","Malawi",2002,5.5341597,2.1,25.6,NA,83.3,0.16,0,1.17,87.96992,560.5774,5.66,680.0000072,NA,1.700000014,298.4334104,203,118484,-13.254308,34.301525
"1495","Malawi",2003,6.2,2.1,24.94,510000,82.83,0.12,0,1.23,91.11111,574.14386,5.43,750,NA,5.705639438,267.3990119,203,118484,-13.254308,34.301525
"1496","Malawi",2004,6.9,2.1,24.33,60000,82.45,0.15,0,1.34,89.932884,596.341,5.23,769.9999809,NA,5.420497693,282.5671076,203,118484,-13.254308,34.301525
"1497","Malawi",2005,6.696063,2.2,23.7,60000,83.17,0.14,0,1.39,90.84968,564.4167,5.09,759.9999905,NA,3.268725827,289.5552148,203,118484,-13.254308,34.301525
"1498","Malawi",2006,3.6532273,2.3,23.07,50000,82.8,0.14,0,1.42,91.02564,566.84424,4.85,779.9999714,NA,4.699999992,308.1636182,203,118484,-13.254308,34.301525
"1499","Malawi",2007,7.476292,2.3,22.45,60000,82.21,0.14,0,1.45,91.19497,548.9341,4.59,829.9999833,NA,9.600000004,332.2590946,203,118484,-13.254308,34.301525
"1500","Malawi",2008,7.8758984,2.4,21.82,NA,80.39,0.11,0,1.62,93.64162,607.96954,4.46,959.9999785,NA,7.639736775,387.6057212,203,118484,-13.254308,34.301525
"1501","Malawi",2009,8.285444,2.45,21.22,70000,80.01,0.13,0,1.58,92.39766,549.8785,4.15,980.0000191,NA,8.328110276,438.2118568,203,118484,-13.254308,34.301525
"1502","Malawi",2010,8.7,2.5,20.63,15180000,81.21,0.13,0,1.83,93.36735,640.52893,3.86,889.9999857,NA,6.874065633,478.6686885,203,118484,-13.254308,34.301525
"1503","Malawi",2011,7.6,2.5,20.12,2410000,80.17,0.13,0,1.88,93.53234,626.8056,3.79,930.0000072,NA,4.854055111,534.9510502,203,118484,-13.254308,34.301525
"1504","Malawi",2012,7.4,2.4,19.61,1690000,80.11,0.13,0,1.96,93.77991,611.7529,3.77,949.9999881,NA,1.885799507,391.5617052,203,118484,-13.254308,34.301525
"1505","Malawi",2013,9,2.3,19.24,36020000,79.68,0.13,0,1.96,93.77991,604.7202,3.61,980.0000191,NA,5.199999997,348.4298737,203,118484,-13.254308,34.301525
"1506","Malawi",2014,11.9,2.2,22.77,1930000,82.7,0.13,0,2.08,94.117645,605.3154,3.38,850.0000238,NA,5.700000004,371.2695217,203,118484,-13.254308,34.301525
"1507","Malawi",2015,10.8,2,22.42,63510000,80.87,0.13,0,2.08,94.117645,567.38477,3.37,930.0000072,NA,2.8,380.5969877,203,118484,-13.254308,34.301525
"1508","Malawi",2016,11,1.8,21.84,350000,78.69,0.15,0,2.05,93.181816,581.6119,3.36,1120.000005,NA,2.484040625,315.7779871,203,118484,-13.254308,34.301525
"1509","Malawi",2017,12.7,1.6,21.66,3860000,75.94,0.19,0,1.9,90.909096,583.40607,3.32,1190.000057,NA,4.000030517,506.1372944,203,118484,-13.254308,34.301525
"1510","Malawi",2018,18.02,1.3,22.14,17150000,73.03,0.2,0,1.44,87.80488,542.3849,3.28,1379.999995,NA,4.391688296,544.5934354,203,118484,-13.254308,34.301525
"1511","Malawi",2019,11.2,1.2,21.94,101610000,73.02,0.2,0,1.5,88.23529,537.8198,3.18,1450.000048,NA,5.448181336,591.8463896,203,118484,-13.254308,34.301525
"1512","Malawi",2020,14.866769,1,21.43,NA,NA,0.21,0,1.5,87.7193,503.25735,NA,NA,NA,0.799998331,636.8205368,203,118484,-13.254308,34.301525
"1303","Kenya",2000,15.131171,1.8,24.07,90000,78.86,2.02,0,2.03,50.123455,1478.989,6.4,8320,NA,0.599695392,397.4826588,94,580367,-0.023559,37.906193
"1304","Kenya",2001,17.033085,2.2,23.42,NA,80.18,1.52,0,3.08,66.95652,1460.3776,6.26,7610,NA,3.779906496,395.3294716,94,580367,-0.023559,37.906193
"1305","Kenya",2002,18.927414,2.6,22.79,NA,80.59,1.1,0,3.65,76.8421,1429.8123,6.32,7420.000076,NA,0.54685953,389.5426302,94,580367,-0.023559,37.906193
"1306","Kenya",2003,16,3.1,22.18,330000,83.25,0.99,0,4.11,80.588234,1321.4634,6.28,6530.00021,NA,2.932475546,429.787819,94,580367,-0.023559,37.906193
"1307","Kenya",2004,22.702715,3.6,23.55,135540000,82.31,1.45,0,4,73.3945,1380.108,6.28,7440.000057,NA,5.104299776,451.6687666,94,580367,-0.023559,37.906193
"1308","Kenya",2005,24.588387,4.2,22.92,44010000,81.26,1.69,0,4.18,71.20953,1454.5236,6.15,8319.999695,NA,5.906666082,511.6163943,94,580367,-0.023559,37.906193
"1309","Kenya",2006,26.47593,4.8,22.35,10000,79.83,1.84,0,4.48,70.88607,1549.1115,6.03,9300.000191,NA,6.472494299,685.9544229,94,580367,-0.023559,37.906193
"1310","Kenya",2007,28.367994,5.3,21.74,59020000,80.35,1.87,0,4.65,71.319016,1513.085,5.77,9369.999886,NA,6.850729771,825.666555,94,580367,-0.023559,37.906193
"1311","Kenya",2008,30.26729,6,22.65,29980000,80.64,2.22,0,4.18,65.31249,1449.5537,5.97,9909.999847,NA,0.232282746,902.0699578,94,580367,-0.023559,37.906193
"1312","Kenya",2009,23,6.6,23.19,35460000,78.35,2.73,0,3.84,58.447487,1537.1414,6.12,11710.00004,NA,3.306939815,1035.338787,94,580367,-0.023559,37.906193
"1313","Kenya",2010,19.2,7.2,24.74,729350000,76.5,2.12,0,5.1,70.63712,1622.7236,5.9,12640.00034,NA,8.058473603,1080.296184,94,580367,-0.023559,37.906193
"1314","Kenya",2011,36.035656,8,24.11,511180000,77.31,2.4,0,5.18,68.33773,1633.5077,5.67,13029.99973,NA,5.12110612,1085.487152,94,580367,-0.023559,37.906193
"1315","Kenya",2012,37.990967,8.7,24.7,143990000,78.71,2.03,0,6.06,74.907295,1575.0422,5.49,12149.99962,NA,4.568679614,1271.815383,94,580367,-0.023559,37.906193
"1316","Kenya",2013,39.966106,9.6,24.32,16250000,76.73,2.58,0,6.11,70.31071,1620.4467,5.51,14100.00038,NA,3.797848393,1354.820833,94,580367,-0.023559,37.906193
"1317","Kenya",2014,36,10.6,27.38,719120000,74.95,1.67,0,6.7,80.04779,1655.0222,5.78,15149.99962,NA,5.020111002,1462.220052,94,580367,-0.023559,37.906193
"1318","Kenya",2015,41.6,11.6,32.94,546170000,72.04,1.43,0,8.44,85.51165,1911.9027,5.8,17209.99908,NA,4.967721128,1464.554009,94,580367,-0.023559,37.906193
"1319","Kenya",2016,53.1,13,32.88,701120000,70.94,1.43,0,8.26,85.24252,1966.5875,5.62,19110.00061,NA,4.213517068,1525.235192,94,580367,-0.023559,37.906193
"1320","Kenya",2017,55.97641,14.4,32.56,301210000,71.3,2.29,0,8.41,78.59813,1939.6578,5.56,18979.99954,NA,3.815506427,1633.491216,94,580367,-0.023559,37.906193
"1321","Kenya",2018,61.284573,16,39.49,220980000,72.47,1.46,0,9.79,87.022224,2047.2719,5.26,17489.99977,NA,5.62910144,1794.091175,94,580367,-0.023559,37.906193
"1322","Kenya",2019,69.7,17.7,41.67,165780000,68.08,1.25,0,10.24,89.12098,1946.3412,5.31,22280.00069,NA,4.981132628,1912.647867,94,580367,-0.023559,37.906193
"1323","Kenya",2020,71.43794,19.5,40.74,NA,NA,0.92,0,10.83,92.17021,1902.1184,NA,NA,NA,-0.316182729,1878.580703,94,580367,-0.023559,37.906193
